original;translation
ZAMEK DRZWI;DOOR LOCK
LISTWA DRZWI;DOOR TRIM STRIP
RAMKA DRZWI;DOOR FRAME
USZCZELKA DRZWI;DOOR SEAL
KLAPKA WLEWU PALIWA;FUEL FILLER FLAP
ASYSTENT PASA;LANE ASSISTANT
KLAMKA TYLNEJ KLAPY;TAILGATE HANDLE
ZAMEK KLAPY TYLNEJ;TAILGATE LOCK
ATRAPA GRILL;FRONT GRILLE
LANKO MASKY;BONNET RELEASE CABLE
ZAMEK MASKI;BONNET LOCK
ODBLASK ZDERZAKA;BUMPER REFLECTOR
RAMIĘ WYCIERACZKI;WIPER ARM
SILNIK WYCIERACZEK;WIPER MOTOR
PRZEŁĄCZNIK WYCIERACZEK;WIPER SWITCH STALK
ZBIORNIK SPRYSKIWACZY;WINDSCREEN WASHER TANK
KRATKA ZDERZAKA;BUMPER GRILLE
HAMULCA RĘCZNEGO;HANDBRAKE
HAMULEC RĘCZNY;HANDBRAKE
SERWO POMPA HAMULCOWA;BRAKE BOOSTER AND MASTER CYLINDER
SERWO HAMULCOWE;BRAKE BOOSTER
POMPA HAMULCOWA;BRAKE MASTER CYLINDER
POMPA HAMULCOWA;BRAKE MASTER CYLINDER
POMPA HYDRAULICZNA;HYDRAULIC PUMP
CZUJNIK KĄTA SKRĘTU;STEERING ANGLE SENSOR
MODUŁ KĄTA SKRĘTU;STEERING ANGLE MODULE
PRZEKŁADNIA LISTWOWA;STEERING RACK
PRZEKŁADNIA MAGLOWNICA;STEERING RACK
PRZEKŁADNIA KIEROWNICZA;STEERING GEAR
PRZEKŁADNIA ŚLIMAKOWA;WORM STEERING GEAR
POMPA WSPOMAGANIA;POWER STEERING PUMP
WĄŻ WSPOMAGANIA;POWER STEERING HOSE
MOST DYFER;DIFFERENTIAL AXLE
DŹWIGNIA ZMIANY BIEGÓW;GEAR SHIFTER LEVER
SKRZYNIA BIEGÓW;GEARBOX
SPRZĘGŁO KOMPLETNE;CLUTCH KIT
WAŁ NAPĘDOWY;DRIVE SHAFT
PRZEKŁADNIA KIEROWNICZ;STEERING GEAR
DRĄŻEK STABILIZATORA;STABILIZER BAR
PODUSZKA ZAWIESZENIA;SUSPENSION AIRBAG
MIECH PODUSZKA ZAWIESZENIA;SUSPENSION AIR BELLOWS
POMPA ZAWIESZENIA;SUSPENSION COMPRESSOR PUMP
KOLEKTOR SSĄCY;INTAKE MANIFOLD
GNIAZDO KIELICH SPRĘŻYNY;SPRING SEAT / CUP
POMPA PALIWA;FUEL PUMP
RURA POWIETRZA;AIR PIPE / HOSE
CZUJNIK ZMIENNEJ FAZY ROZRZĄDU;VARIABLE VALVE TIMING SENSOR
CZUJNIK POŁOŻENIA WAŁKA ROZRZĄDU;CAMSHAFT POSITION SENSOR
DODATKOWA POMPA WODY;ADDITIONAL WATER PUMP
ELEKTROZAWÓR WODY;WATER SOLENOID VALVE
ZBIORNIK WYRÓWNAWCZY PŁYNU CHŁODZĄCEGO;COOLANT EXPANSION TANK
LISTWA WTRYSKOWA;FUEL RAIL
POMPA WTRYSKOWA;INJECTION PUMP
DMUCHAWA NAWIEWU;HEATER BLOWER FAN
BOCZEK DRZWI;DOOR PANEL
LAMPA SUFITOWA;INTERIOR CEILING LIGHT
OSŁONA PRZECIWSŁONECZNA;SUN VISOR
PRZEŁĄCZNIK SZYB;WINDOW SWITCH
PRZEŁĄCZNIK OGRZEWANIA FOTELA;SEAT HEATING SWITCH
PAS BEZPIECZEŃSTWA;SAFETY BELT
POTENCIOMETER PLYNU;ACCELERATOR PEDAL
POTENCJOMETR GAZU;ACCELERATOR PEDAL
PODUSZKA POWIETRZNA;AIRBAG
TAŚMA AIRBAG;AIRBAG CLOCK SPRING
SCHOWEK PASAŻERA;GLOVE COMPARTMENT
FELGA ALUMINIOWA;ALUMINUM WHEEL RIM
ŚRODEK CENTR.;CENTER BORE
FELGA STALOWA;STEEL WHEEL RIM
CZUJNIK UDERZENIOWY;IMPACT / CRASH SENSOR
KOMPUTER SILNIKA;ENGINE CONTROL UNIT (ECU)
MODUŁ ŚWIATEŁ;LIGHT CONTROL MODULE
MODUŁ LAMPY;HEADLIGHT CONTROL MODULE
SKRZYNKA BEZPIECZNIKÓW;FUSE BOX
CZUJNIK PDC;PARKING SENSOR (PDC)
PODNOŚNIK SZYBY;WINDOW REGULATOR
SILNIK PODNOSZENIA SZYBY;WINDOW REGULATOR MOTOR
